TowNum,Tow_Firm,Tow_Firm_Address,Tow_Firm_Phone,Vehicle_State,Vehicle_Plate,Vehicle_Year,Make,Model,Color,Tow_From_Address,Date,Time,geom
360458,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,OK,3CB267,2017,HINO,TK,WHITE,,02132019,0927,"(41.7639134735326, -72.7085948664407)"
360454,,,860-947-3062,CT,AS22100,2011,MAZDA,CX-9,WHITE,,02132019,0842,"(41.7679534237429, -72.6987575666642)"
360457,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,MA,7XY687,2001,HONDA,ACCORD,GRY,,02132019,0922,"(41.74472961908, -72.6895035491216)"
360456,,,860-947-3062,WI,ABT8865,2014,TOYOTA,COROLLA,BLACK,,02132019,0852,"(41.7679534237429, -72.6987575666642)"
360453,,,860-947-3062,,,1999,HONDA,CIVIC,GRAY,,02132019,0840,"(41.7855426564377, -72.7006092461919)"
360385,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2002,MITS,ECLIPSE,BLK,,02122019,2048,"(41.7639908632841, -72.6879396456371)"
360459,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2001,HONDA,CIVIC,BLK,,02132019,1037,"(41.746642379645, -72.694835211862)"
360327,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AJ55618,2006,NISSAN,MAXIMA,SILVER,,02122019,1852,"(41.7377106243698, -72.6751438627036)"
360460,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AB74319,2000,NISSAN,MAX,GRY,,02132019,1042,"(41.7498838376024, -72.6977427552955)"
360467,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,MA,2JS822,2014,FORD,EDGE,BLK,,02132019,1334,"(41.74472961908, -72.6895035491216)"
360234,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,AJ42120,2017,TOYOTA,RAV4,,,02122019,1413,"(41.7364642076745, -72.7098847301842)"
360465,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,,,2007,HONDA,CIVIC,GRAY,,02132019,1301,"(41.7582411428358, -72.6943071900983)"
360233,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,360XVC,2009,HONDA,ACCORD,GRAY,,02122019,1413,"(41.7366657870998, -72.7059238564841)"
360466,,,860-947-3062,,,2001,NISSAN,MAXIMA,GRAY,,02132019,1257,"(41.7538773607157, -72.6962842868823)"
360093,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2008,HUNYDA,ELANTRA,BLK,,02122019,1327,"(41.7772157690293, -72.6928350864821)"
360084,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,00KCLA,1998,NISSAN,ALTIMA,GRY,,02122019,1325,"(41.7430873212079, -72.6795137108809)"
360469,,,860-947-3062,CT,AM15827,2002,FORD,ESCAPE XLT,BLUE,,02132019,1415,"(41.739420858214, -72.6874174127684)"
360083,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AL34528,2003,VW,JETTA,GRY,,02122019,1325,"(41.742025020162, -72.676942380056)"
360372,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2006,HONDA,CIVIC,TAN,,02122019,1944,"(41.736885480257, -72.6880892112859)"
360468,,,860-947-3062,MI,AHV470,2005,MERCURY,MONTEGO,GOLD,,02132019,1333,"(41.7731997414667, -72.6918237197979)"
360470,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,IN,2696278Q,2018,INT,LT,WHI,,02132019,1418,"(41.7951997742726, -72.6823858630864)"
360288,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,955SCP,1997,TOYT,COROLLA,BLU,,02122019,1629,"(41.7641950930955, -72.7082405024855)"
360287,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AP77582,2015,AUDI,Q7,WHITE,,02122019,1629,"(41.7685590403331, -72.7003344197133)"
360286,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AL25904,2004,TOYT,SCION,BLK,,02122019,1629,"(41.7663785348073, -72.6978179811211)"
360472,,,860-246-7616,,,1992,SATURN,SC2,RED,,02132019,1518,"(41.7676388620509, -72.6832005568985)"
360491,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AL87678,2004,INFINITI,G35,GREEN,,02132019,1558,"(41.7749592407929, -72.6816763943663)"
360190,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,PA,UNKNOWN,2013,DODGE,CARAVAN,SIL,,02122019,1350,"(41.7646580642669, -72.6956831803003)"
360473,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AL81553,2009,HONDA,ACCORD,MAROON,,02132019,1548,"(41.7839708524782, -72.697250204686)"
360289,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AN46368,2004,FORD,FOCUS,GRY,,02122019,1629,"(41.7640342700067, -72.7083025486862)"
360292,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AR14429,2004,CHRYS,T&C,SIL,,02122019,1632,"(41.7528195719536, -72.6936956491514)"
360474,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2002,DODGE,STRATUS,GLD,,02132019,1549,"(41.7839708524782, -72.697250204686)"
360476,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,AP05800,2003,MITS,LANCER,GRY,,02132019,1551,"(41.7464772581091, -72.6806165408394)"
360490,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2004,INFI,G35,GRY,,02132019,1558,"(41.7749592407929, -72.6816763943663)"
360482,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AN50683,2010,HONDA,ACC,BLK,,02132019,1553,"(41.7826444475174, -72.6878350513202)"
360477,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,0AJHW4,2009,HONDA,ACCORD,GRY,,02132019,1552,"(41.7948685636084, -72.6760410913178)"
360483,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AL28706,2006,BMW,325I,GRY,,02132019,1553,"(41.7655470698755, -72.7008846218019)"
360499,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2001,FORD,TAURUS,TAN,,02132019,1632,"(41.7305796393852, -72.6747704531684)"
360478,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AJ15804,2002,HONDA,CIVIC,GRY,,02132019,1552,"(41.7951997742726, -72.6823858630864)"
360503,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2000,MITS,GALANT,GRY,,02132019,1736,"(41.7814244598695, -72.6761272116993)"
360500,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2005,NISS,PATHFINDER,BLK,,02132019,1633,"(41.7305796393852, -72.6747704531684)"
360488,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AD26142,2015,NISS,SENTRA,SILVER,,02132019,1558,"(41.7749592407929, -72.6816763943663)"
360501,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AH08466,2010,HONDA,ACC,BLK,,02132019,1650,"(41.7842801623617, -72.6941886307879)"
360502,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,AD07384,2016,NISS,ALTIMA,RED,,02132019,1716,"(41.7814244598695, -72.6761272116993)"
360498,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AC47847,2000,TOYT,CAMRY,BLK,,02132019,1611,"(41.7956949514055, -72.7012293487395)"
360489,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AJ36928,2007,LEXUS,RX350,GRY,,02132019,1558,"(41.7749592407929, -72.6816763943663)"
360493,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AP40669,2003,HONDA,ACC,GRY,,02132019,1604,"(41.7476118373033, -72.6729801852438)"
360495,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AM05271,2004,VW,JETTA,BLK,,02132019,1604,"(41.7476118373033, -72.6729801852438)"
360295,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AR21047,2004,NISS,MAXIMA,RY,,02122019,1632,"(41.7594769612274, -72.6771495562138)"
360494,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AJ95074,2005,FORD,F150,GRY,,02132019,1604,"(41.7476118373033, -72.6729801852438)"
360497,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AJ34332,2005,JAGUAR,X-TYPE 3.0,GRN,,02132019,1604,"(41.7476118373033, -72.6729801852438)"
360293,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,870TCE,2004,INFINITI,FX35,GRY,,02122019,1632,"(41.7594769612274, -72.6771495562138)"
360294,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AP40579,2003,BUICK,CENT,SILVER,,02122019,1632,"(41.7594769612274, -72.6771495562138)"
360171,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2005,SABARU,IMPREZA,BLK,,02122019,1348,"(41.7860481393541, -72.6708362678992)"
360496,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,,,2005,ACURA,TL,SILVER,,02132019,1604,"(41.7476118373033, -72.6729801852438)"
360504,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,,,2004,HONDA,ACCORD,RED,,02132019,1915,"(41.7339245850843, -72.6767026037147)"
360506,CT AUTO & TOWING LLC,"42,JANSEN COURT,WEST HARTFORD,CT,99999",860-216-5474,CT,AS40537,2004,SUBARU,LEGACY,GREEN,,02132019,2020,"(41.7690369579141, -72.6727886402643)"
360507,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,AH35307,2003,HONDA,ACC,TAN,,02132019,2037,"(41.7682597906354, -72.6896863206862)"
360508,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AA77566,2011,HONDA,ACC,BROWN,,02132019,2146,"(41.7857067246299, -72.6524240527682)"
360509,,,860-296-5382,CT,AG47726,2014,NISSAN,MAXIMA,BLACK,,02132019,2145,"(41.7702080582161, -72.7002667376841)"
360510,,,860-296-5382,NJ,K39EZZ,2015,HONDA,ACCORD,BLACK,,02142019,0116,"(41.7673047896289, -72.6971639702345)"
360511,,,860-296-5382,CT,AP82215,2007,AUDI,A4 QUATTRO,WHITE,,02142019,0119,"(41.7670897972513, -72.6795927112564)"
360517,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2007,INFINITY,G35,SILVER,,02142019,0856,"(41.7541295411158, -72.6871388256126)"
360518,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2000,HONDA,ODYSSEY,GRAY,,02142019,0908,"(41.7576794184712, -72.68704050742)"
360520,,,860-296-8588,,,2003,SUBARU,OUTBACK,GREEN,,02142019,0930,"(41.7377456982588, -72.678175284974)"
360521,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,,,1995,TOYOTA,CAMRY,BLK,,02142019,1012,"(41.792009058267, -72.7077408645692)"
360522,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,,,2002,TOTOTA,SOLARA,YELLOW,,02142019,1043,"(41.7582036026925, -72.6817162219209)"
360525,,,860-296-8588,,,2001,FORD,TAURUS,RED,,02142019,1134,"(41.7603990779115, -72.7063116559036)"
360524,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2007,TOYOTA,PRIUS,GREEN,,02142019,1135,"(41.7359624295175, -72.6694482198145)"
360523,,,860-296-9663,CT,AJ94957,2007,INFINITY,M35,RED,,02142019,1121,"(41.7559223643758, -72.6925253982077)"
360526,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AM43520,2016,FORD,FOCUS,SILVER,,02142019,1248,"(41.768412177007, -72.6740899908228)"
360528,,,860-293-2442,,,2006,MAZDA,6,WHITE,,02142019,1258,"(41.7877826116482, -72.6813140695139)"
360530,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AA46809,2011,NISSAN,MAXIMA,WHITE,,02142019,1342,"(41.7636628193127, -72.6866612236642)"
360531,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,,,2006,NISSAN,MAXIMA,BLUE,,02142019,1406,"(41.7514176429079, -72.6831002329423)"
360534,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,,,1996,SAAB,900 TURBO,BLK,,02142019,1449,"(41.7714369406819, -72.6742856919419)"
360533,,,860-246-7616,CT,AK23392,2015,KIA,OPTIMA,WHITE,,02142019,1430,"(41.77159955912, -72.6901481263552)"
360535,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,9ANNF9,2002,MERCEDES,C230K,BLACK,,02142019,1528,"(41.7343415256132, -72.6965217628956)"
360536,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AS34502,2018,HYUNDAI,SONATA,BLACK,,02142019,1623,"(41.7589866863878, -72.6750251741897)"
360537,,,860-296-8588,CT,AH57654,2018,MAZDA,3,BLUE,,02142019,1754,"(41.7447179073531, -72.683290606054)"
360539,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,,,2006,DODGE,CARAVAN,RED BLUE,,02142019,1911,"(41.7582879926652, -72.712023777963)"
360540,,,860-947-3062,CT,DJ4772,2002,ACURA,CL,BLUE,,02142019,2026,"(41.7552020647409, -72.6938319100221)"
360543,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AP96753,2016,NISSAN,ALTIMA,BLACK,,02152019,0001,
360546,,,860-296-9663,CT,AP79401,2015,ACURA,TL,WHITE,,02152019,0045,"(41.7670897972513, -72.6795927112564)"
360544,,,860-296-9663,CT,PW2801,2007,FORD,FOCUS,RED,,02152019,0037,"(41.7470728300187, -72.6788565151533)"
360547,,,860-296-9663,CT,907XLH,2001,CHEVROLET,PRIZM,GREEN,,02152019,0118,"(41.760933205822, -72.6802745414518)"
360549,,,860-296-9663,CT,AK74404,2009,NISSAN,MURANO,MAROON,,02152019,0203,"(41.7571816339655, -72.7117643511248)"
360548,,,860-296-9663,CT,AM76058,2012,INFINITI,M37,WHITE,,02152019,0122,"(41.7655670014556, -72.7095401642177)"
360552,,,860-296-9663,CT,7ADX56,2006,BUICK,LACROSSE,BLACK,,02152019,0254,"(41.7809554223861, -72.6830207366062)"
360550,,,860-296-9663,RI,362943,2003,LEXUS,ES3,PURPLE,,02152019,0244,"(41.7429451309757, -72.7009736949676)"
360551,,,860-296-9663,CT,AH36700,2007,CHRYSLER,PT CRUISER,RED,,02152019,0251,"(41.7461430040855, -72.68291292121)"
360556,,,860-296-9663,CT,AP45260,2005,CHEVROLET,AVEO,BLUE,,02152019,0514,"(41.7461430040855, -72.68291292121)"
360554,,,860-296-9663,CT,AG74333,2004,TOYOTA,CAMRY,GRAY,,02152019,0334,"(41.7605815410209, -72.7067265682208)"
360555,,,860-296-9663,CT,AJ68010,2010,KIA,FORTE,WHITE,,02152019,0410,"(41.7566418389583, -72.6821882164613)"
360557,,,860-296-9663,CT,AS48657,2015,ACURA,TLX TECH,BLUE,,02152019,0558,"(41.7528139827624, -72.6832158612731)"
360558,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,S3250S,2013,DODGE,CARAVAN,WHITE,,02152019,0754,"(41.7392229807133, -72.6847286876831)"
360560,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AR96994,2015,TOYT,COR,BLK,,02152019,0854,"(41.7613859984211, -72.6855106279915)"
360559,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2003,HONDA,ACCORD,WHITE,,02152019,0849,"(41.7578841938744, -72.6810912644203)"
360561,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2006,INFINITI,G35,SILVER,,02152019,0928,"(41.7476194557776, -72.6846646338332)"
360563,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2005,CHRYS,PACIFICA,BLUE,,02152019,1002,"(41.7474970186171, -72.6804367173151)"
360562,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,,,1999,TOYT,CAMRY,WHITE,,02152019,0940,"(41.7576905386531, -72.6829286158527)"
360257,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,,,2002,HONDA,CIVIC,GRY,,02122019,1546,"(41.7552031187272, -72.6639784669795)"
360565,,,860-296-2826,NJ,MC5144,2017,MINI COOPE,COOPER,TAN,,02152019,1043,"(41.755805809905, -72.6706463993976)"
360567,,,860-296-8588,CT,438ZXY,2007,HYUNDA,SONATA,RED,,02152019,1112,"(41.7909519055514, -72.6624370560691)"
360564,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AN56929,2001,CHEVY,PRIZM,GRN,,02152019,1043,"(41.753424457659, -72.702841511513)"
360566,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2000,CHEVY,PRIZM,GRY,,02152019,1050,"(41.7582075498228, -72.688749442725)"
360569,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AS40036,2015,SUBARU,LEGACY 2.5,SILVER,,02152019,1424,"(41.739972124952, -72.6960136932626)"
360572,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,,,2008,INFINITI,M35,BLACK,,02152019,2028,"(41.7912160171966, -72.6810700032762)"
